Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-ET-1369-RN;7ET1369RN;ESTREITO;3R Potiguar;4.80E+14;2023/07;178965;0;178965;0.0073;0;0.0073;0.227;3046851;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Bahia;Recôncavo;7-LP-9-BA;7LP  0009  BA;LAGOA DO PAULO;Recôncavo E&P;4.86E+14;2023/07;42681;0;42681;0.0754;0;0.0754;2338;35541;Estação Coletora de Lagoa do Paulo;INSTALACAO EMB/DESEMB;725;2023/02;OURO PRETO;33.1;< 270ºC;0.2134;270ºC a 458ºC;0.219;> 458ºC;0.5676;618135;123007;124826;4;34682;11314;10914;0.7233;0.3091;0.1351;0.0217;0.0007;0;0.0109;23506;0.1608;205544;53469683;411893385;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-797D-RN;7CAM797DRN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;212285;0;212285;0.0034;0;0.0034;0.104;20203097;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Sergipe;Sergipe;7-CP-1183D-SE;7CP  1183D SE;CARMÓPOLIS;Carmo;4.80E+14;2023/07;46368;0;46368;0.0505;0;0.0505;1565;4794621;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;481;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;678554;80641;6486;19701;25057;12874;0.6826;0.2161;0;0;0;0;0;0;14188;95138;207556;53710734;356803215;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-799-RN;7CAM799RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;0;0;0;0;0;0;0;0;Estação Coletora Canto do Amaro E;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-AC-2-RN;7AC2RN;ACAUÃ;Potiguar E&P S.A.;4.86E+14;2023/07;39224;0;39224;0.0006;0;0.0006;0.019;54658;Estação Coletora de Acauã (Acauã);INSTALACAO EMB/DESEMB;733;;;;;;;;;;893519;36438;21064;0.5252;0.657;0.2373;0.2243;0.2086;0.1143;0.0264;0.0008;0;0;0.0059;26684;0.2297;204749;53372615;376668475;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-8-RN;7CAM 0008  RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;0;0;0;0;0;0;0;0;Estação Coletora Canto do Amaro B;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Sergipe;Sergipe;7-CP-1182-SE;7CP  1182  SE;CARMÓPOLIS;Carmo;4.80E+14;2023/07;55659;0;55659;0.0502;0;0.0502;1555;1181157;Estação Coletora de Nova Magalhães;INSTALACAO EMB/DESEMB;739;2021/02;Sergipano Terra;24.5;< 290ºC;0.2694;290ºC a 380ºC;0.1436;> 380ºC;0.587;678554;80641;6486;19701;25057;12874;0.6826;0.2161;0;0;0;0;0;0;14188;95138;207556;53710734;356803215;04/09/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-80-RN;7CAM 0080  RN;CANTO DO AMARO;3R Potiguar;4.80E+14;2023/07;315834;0;315834;0.0046;0;0.0046;0.143;35595327;Estação Coletora Canto do Amaro B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23.2;< 290ºC;0.206;290ºC a 380ºC;0.142;> 380ºC;0.652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04/09/2023 02:36
Rio Grande do Norte;Potiguar;3-BRSA-330-RN;3LOG3RN;ACAUÃ;Potiguar E&P S.A.;4.86E+14;2023/07;51818;0;51818;0.0008;0;0.0008;0.026;14625;Estação Coletora de Acauã (Acauã);INSTALACAO EMB/DESEMB;729;;;;;;;;;;893519;36438;21064;0.5252;0.657;0.2373;0.2243;0.2086;0.1143;0.0264;0.0008;0;0;0.0059;26684;0.2297;204749;53372615;376668475;04/09/2023 02:36
