Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio de Janeiro;Santos;7-BUZ-23-RJS;7BUZ23RJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;313446438;0;313446438;15927747;0;15927747;12932269;0;Petrobras 75 (P-75);UEP;515;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;9-BUZ-7-RJS;9BUZ7RJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;126607163;0;126607163;5220675;0;5220675;4238.84;0.3825;Petrobras 74 (P-74);UEP;497;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;3-BRSA-1184-RJS;3RJS723;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;194264702;0;194264702;7319952;0;7319952;5943313;19427;Petrobras 77;UEP;544;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;7-BUZ-14DA-RJS;7BUZ14DARJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;259391906;0;259391906;11537939;0;11537939;9368038;0;Petrobras 74 (P-74);UEP;524;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;9-BUZ-3-RJS;9BUZ3RJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;254503829;0;254503829;13772288;0;13772288;11182181;0;Petrobras 75 (P-75);UEP;503;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;7-BUZ-17-RJS;7BUZ17RJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;203857064;0;203857064;8009175;0;8009175;6502917;0;Petrobras 74 (P-74);UEP;528;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;7-BUZ-10-RJS;7BUZ10RJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;330575744;0;330575744;14825377;0;14825377;12037219;0;Petrobras 75 (P-75);UEP;501;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;9-BRSA-1191-RJS;9RJS708;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;132545566;0;132545566;6971191;0;6971191;5660142;0;Petrobras 74 (P-74);UEP;481;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;7-BUZ-12-RJS;7BUZ12RJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;350911261;0;350911261;13263261;0;13263261;10768885;35095;Petrobras 77;UEP;533;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
Rio de Janeiro;Santos;9-BUZ-1-RJS;9BUZ1RJS;BÚZIOS_ECO;Petrobras;4.86E+16;2023/07;199087472;0;199087472;7475835;0;7475835;6069.88;79668;Petrobras 76;UEP;533;2023/02;Búzios;28.7;< 270ºC;0.321;270ºC a 458ºC;0.273;> 458ºC;0.406;62.65;10.65;7.03;1.11;2.44;0.51;0.71;0.48;0.23;0.09;0.02;0.01;0;0.06;0.97;13.04;203297;53199258;351857868;04/09/2023 02:36
