Setor;Bloco;Nº de Ofertas;Área Arrematada (Km2);Empresa / Consórcio (*operador);Bônus;Ágio(%) Bônus;PEM (UT);Ágio(%) PEM;PEM (R$);Pontos
SPN-N;PN-T-102A;1;2059.89;Eneva (100%)*;530274.58;100;1121;132.57;22980500;1000000
SPN-N;PN-T-47;1;3067.76;Eneva (100%)*;675592.56;100;1897;168.32;38888500;1000000
SPN-N;PN-T-48A;1;1612.57;Eneva (100%)*;363255.76;100;1448;291.35;29684000;1000000
SPN-N;PN-T-66;1;3066.33;Eneva (100%)*;895516.9;100;2673;278.08;54796500;1000000
SPN-N;PN-T-67A;1;1440.28;Eneva (100%)*;363793.02;100;336;1.51;6888000;1000000
SPN-N;PN-T-68;1;2494.59;Eneva (100%)*;674656.84;100;1336;131.14;27388000;1000000
SPOT-T2;POT-T-392;1;32.1;Petro-Victory (100%)*;214345;328.69;228;0;1254000;1000000
SPOT-T2;POT-T-432;1;29.32;Petro-Victory (100%)*;214345;328.69;207;0;1138500;1000000
SPOT-T2;POT-T-433;1;31.75;Petro-Victory (100%)*;214345;328.69;224;0;1232000;1000000
SPOT-T2;POT-T-434;1;31.93;Petro-Victory (100%)*;214345;328.69;226;0;1243000;1000000
SPOT-T2;POT-T-476;1;41.84;Petro-Victory (100%)*;214345;328.69;297;0;1633500;1000000
SPOT-T2;POT-T-477;1;31.92;Petro-Victory (100%)*;214345;328.69;226;0;1243000;1000000
SPOT-T2;POT-T-478;1;14.25;Petro-Victory (100%)*;214345;328.69;100;0;550000;1000000
SPOT-T4;POT-T-519;1;28.31;Petro-Victory (100%)*;214345;328.69;213;0;1171500;1000000
SPOT-T4;POT-T-521;1;22.68;Petro-Victory (100%)*;214345;328.69;169;0;929500;1000000
SPOT-T4;POT-T-564;1;32.17;Petro-Victory (100%)*;214345;328.69;242;0;1331000;1000000
SPOT-T4;POT-T-565;1;14.59;Phoenix (100%)*;100000;100;1000;817.43;5500000;1000000
SPOT-T4;POT-T-566;1;24.07;Petro-Victory (100%)*;214345;328.69;180;0;990000;1000000
SPOT-T4;POT-T-606;1;32.01;Petro-Victory (100%)*;214345;328.69;240;0;1320000;1000000
SPOT-T4;POT-T-610;1;29.19;Phoenix (100%)*;70000;40;219;0;1204500;1000000
SPOT-T4;POT-T-650;1;31.92;Petro-Victory (100%)*;214345;328.69;240;0;1320000;1000000
SPOT-T4;POT-T-651;1;31.92;Petro-Victory (100%)*;214345;328.69;240;0;1320000;1000000
SPOT-T4;POT-T-652;1;31.92;Petro-Victory (100%)*;214345;328.69;240;0;1320000;1000000
SPOT-T4;POT-T-740;1;13.63;Imetame (100%)*;75115;50.23;102;0;561000;1000000
SPOT-T4;POT-T-834;1;30.46;Geopark Brasil (100%)*;250034;400.07;234;2.63;1287000;1000000
SREC-T2;REC-T-110;1;27.61;"Petroil (50%)*; Oil Group (50%)";55000;10;184;0;1012000;1000000
SREC-T2;REC-T-121;1;31.36;"Petroil (50%)*; Oil Group (50%)";55000;10;209;0;1149500;1000000
SREC-T2;REC-T-58;1;31.53;Geopark Brasil (100%)*;50000;0;209;0;1149500;1000000
SREC-T1;REC-T-67;1;31.19;Geopark Brasil (100%)*;50000;0;211;0;1160500;1000000
SREC-T1;REC-T-77;1;31.19;Geopark Brasil (100%)*;50000;0;211;0;1160500;1000000
SSEAL-AUP2;SEAL-M-505;1;754.6;"ExxonMobil Brasil (50%)*; Murphy (20%); Enauta Energia (30%)";2700525;19.93;207;78.45;31464000;1000000
SSEAL-AUP2;SEAL-M-575;1;753.95;"ExxonMobil Brasil (50%)*; Murphy (20%); Enauta Energia (30%)";3110595;20.13;200;72.41;30400000;1000000
SSEAL-AUP2;SEAL-M-637;1;753.28;"ExxonMobil Brasil (50%)*; Murphy (20%); Enauta Energia (30%)";2040657;20.17;231;99.14;35112000;1000000
